,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
162,sh000855,央视500,1434.8497,-10.814,-0.748,1445.6637,1440.7748,1443.5076,1432.3823,194810057,381645523295
163,sh000856,500工业,6218.4787,-13.05,-0.209,6231.5287,6231.4765,6246.94,6209.7505,27549786,29386825616
164,sh000857,500医药,13434.5668,190.028,1.435,13244.5388,13234.6433,13468.6706,13153.3087,5344240,15199374333
165,sh000858,500信息,7818.4575,-219.628,-2.732,8038.0852,7997.5345,8019.1639,7816.4448,18647607,44337691768
166,sh000860,结构调整,1223.5822,-15.351,-1.239,1238.9333,1232.5642,1235.2042,1220.8173,56311696,75361501052
167,sh000865,上海国企,1291.2479,-0.022,-0.002,1291.2703,1288.1848,1295.1089,1285.6123,11528615,11508529464
168,sh000867,港中小企,2388.6105,-2.041,-0.085,2390.6519,2379.3392,2395.1035,2359.829,11975354,6712151905
169,sh000869,HK银行,2715.6057,-0.605,-0.022,2716.2106,2696.086,2719.678,2688.4066,4857140,2622077759
170,sh000891,新兴综指,1567.0146,-22.351,-1.406,1589.3658,1583.9295,1585.5835,1566.9262,319573035,594039480121
171,sh000901,小康指数,5626.2416,-29.696,-0.525,5655.9379,5635.632,5663.5819,5609.0323,71312196,91905555361
172,sh000903,中证100,3937.612,-35.207,-0.886,3972.8188,3955.4288,3959.19,3929.5067,67265169,145781303890
173,sh000905,中证500,6398.7096,-44.729,-0.694,6443.4391,6438.1638,6451.7864,6396.0167,148950164,187014177524
174,sh000906,中证800,4458.2019,-32.666,-0.727,4490.8677,4477.0339,4485.4754,4451.697,297903639,473056612302
175,sh000913,300医药,10896.1054,189.619,1.771,10706.4862,10679.276,10943.6468,10612.6433,3886900,20259110371
176,sh000914,300金融,5267.2524,-8.452,-0.16,5275.7048,5256.9066,5293.0242,5233.7927,33052528,34191559238
177,sh000928,中证能源,2626.1619,-7.743,-0.294,2633.9052,2635.6817,2666.6021,2621.836,16714835,11711464347
178,sh000932,中证消费,20972.9231,78.62,0.376,20894.3032,20860.6521,21064.5988,20761.5769,5124817,24487396778
179,sh000933,中证医药,10708.077,174.361,1.655,10533.7162,10513.527,10746.0574,10448.7645,9232872,35463090330
180,sh000934,中证金融,4983.5914,-12.144,-0.243,4995.7351,4979.2524,5008.7501,4958.0154,48732406,42482629082
181,sh000935,中证信息,4783.4444,-178.292,-3.593,4961.7361,4922.2484,4936.5768,4782.2898,47532069,145108631838
182,sh000974,800金融,5302.1655,-9.17,-0.173,5311.3354,5294.3897,5328.332,5271.5842,39858566,36811878704
183,sh000982,500等权,7854.6901,-49.335,-0.624,7904.025,7897.7912,7919.3374,7851.625,148950164,187014177524
184,sh000986,全指能源,2249.3046,-1.565,-0.07,2250.8694,2253.3384,2281.0791,2246.326,24643079,18241620698
185,sh000987,全指材料,3762.88,-36.471,-0.96,3799.3506,3793.7054,3799.4157,3755.2239,38247702,48396931473
186,sh000989,全指可选,4744.8773,-48.557,-1.013,4793.4339,4774.5717,4775.6606,4734.1402,16657761,25797200695
187,sh000991,全指医药,11571.2099,194.396,1.709,11376.8142,11358.1957,11612.2373,11286.6624,10022512,39963656867
188,sh000992,全指金融,4793.1397,-10.494,-0.218,4803.6337,4788.0675,4817.0042,4768.3849,61413105,49112348583
189,sh000993,全指信息,6336.0807,-244.26,-3.712,6580.3411,6528.1586,6546.3915,6334.894,50069074,156082114656
190,sz399001,深证成指,11731.614,-151.9,-1.278,11883.514,11836.821,11844.398,11727.891,44518489587,625759106965
