,基金代码,拼音缩写,基金简称,基金类型,拼音全称
3498,005067,RTNXCLLHPZHHA,融通逆向策略灵活配置混合A,混合型-灵活,RONGTONGNIXIANGCELUELINGHUOPEIZHIHUNHEA
3499,005068,CXFHCZYNDKZA,长信富海纯债一年定开债A,债券型-长债,CHANGXINFUHAICHUNZHAIYINIANDINGKAIZHAIA
3500,005069,CXFMCZYNDKZA,长信富民纯债一年定开债A,债券型-长债,CHANGXINFUMINCHUNZHAIYINIANDINGKAIZHAIA
3501,005070,CJLFCZ,长江乐丰纯债,债券型-长债,CHANGJIANGLEFENGCHUNZHAI
3502,005072,ZYFJDQKFZQ,中银丰进定期开放债券,债券型-长债,ZHONGYINFENGJINDINGQIKAIFANGZHAIQUAN
3503,005073,YYYYZQA,永赢永益债券A,债券型-长债,YONGYINGYONGYIZHAIQUANA
3504,005074,YYYYZQC,永赢永益债券C,债券型-长债,YONGYINGYONGYIZHAIQUANC
3505,005075,FGYJLHJXHH,富国研究量化精选混合,混合型-偏股,FUGUOYANJIULIANGHUAJINGXUANHUNHE
3506,005076,CJHXYXHBLHPZHH,创金合信优选回报灵活配置混合,混合型-灵活,CHUANGJINHEXINYOUXUANHUIBAOLINGHUOPEIZHIHUNHE
3507,005077,PAHYDKZ,平安合韵定开债,债券型-长债,PINGANHEYUNDINGKAIZHAI
3508,005078,FGBLZQZQ,富国宝利增强债券,债券型-混合债,FUGUOBAOLIZENGQIANGZHAIQUAN
3509,005079,XYXRXDZA,兴银鑫日享短债A,债券型-中短债,XINGYINXINRIXIANGDUANZHAIA
3510,005080,HFTLHDYZHHC,海富通量化多因子混合C,混合型-灵活,HAIFUTONGLIANGHUADUOYINZIHUNHEC
3511,005081,HFTLHDYZHHA,海富通量化多因子混合A,混合型-灵活,HAIFUTONGLIANGHUADUOYINZIHUNHEA
3512,005082,NDLHLCZQHHA,诺德量化蓝筹增强混合A,混合型-偏股,NUODELIANGHUALANCHOUZENGQIANGHUNHEA
3513,005083,NDLHLCZQHHC,诺德量化蓝筹增强混合C,混合型-偏股,NUODELIANGHUALANCHOUZENGQIANGHUNHEC
3514,005088,JSXTHDQHHA,嘉实新添辉定期混合A,混合型-灵活,JIASHIXINTIANHUIDINGQIHUNHEA
3515,005089,JSXTHDQHHC,嘉实新添辉定期混合C,混合型-灵活,JIASHIXINTIANHUIDINGQIHUNHEC
3516,005090,JHRJHHFQSA,嘉合睿金混合发起式A,混合型-偏股,JIAHERUIJINHUNHEFAQISHIA
3517,005091,JHRJHHFQSC,嘉合睿金混合发起式C,混合型-偏股,JIAHERUIJINHUNHEFAQISHIC
3518,005092,GFHBC,广发货币C,货币型,GUANGFAHUOBIC
3519,005094,WJZXHH,万家臻选混合,混合型-偏股,WANJIAZHENXUANHUNHE
3520,005095,GTLHCZYXHHA,国泰量化成长优选混合A,混合型-偏股,GUOTAILIANGHUACHENGZHANGYOUXUANHUNHEA
3521,005096,GTLHCZYXHHC,国泰量化成长优选混合C,混合型-偏股,GUOTAILIANGHUACHENGZHANGYOUXUANHUNHEC
3522,005097,YFDXJZLHBC,易方达现金增利货币C,货币型,YIFANGDAXIANJINZENGLIHUOBIC
3523,005098,YFDLBHBC,易方达龙宝货币C,货币型,YIFANGDALONGBAOHUOBIC
3524,005099,YFDFHCZA,易方达富华纯债A,债券型-长债,YIFANGDAFUHUACHUNZHAIA
3525,005102,GYHS300ETFLJA,工银沪深300ETF联接A,指数型-股票,GONGYINHUSHEN300ETFLIANJIEA
3526,005103,GYHS300ETFLJC,工银沪深300ETF联接C,指数型-股票,GONGYINHUSHEN300ETFLIANJIEC
3527,005104,FRFKHHA,富荣福康混合A,混合型-偏股,FURONGFUKANGHUNHEA
3528,005105,FRFKHHC,富荣福康混合C,混合型-偏股,FURONGFUKANGHUNHEC
